331,253,1,218,253,169,631,997
368,43,970,312,304,137,687,874
686,992,963,502,993,734,485,669
79,628,867,402,328,7,897,176
975,551,538,45,472,890,787,841
839,390,928,994,140,542,545,590
945,266,687,752,850,674,876,207
537,204,809,265,491,240,816,113
249,512,332,643,483,567,313,694
531,96,108,457,183,971,838,173
69,517,637,669,633,181,269,808
121,655,755,958,980,683,846,151
856,503,495,538,36,182,292,578
839,982,351,269,246,757,772,790
409,825,952,41,93,377,136,860
840,720,529,27,676,681,458,830
570,151,756,208,607,565,910,126
972,181,85,96,613,306,32,878
400,528,202,582,682,678,414,413
443,742,740,600,173,351,539,50
147,684,522,580,313,866,522,244
801,513,363,276,623,563,794,946
541,873,280,148,903,476,879,161
836,665,946,678,748,657,726,355
723,291,578,419,0,739,267,490
152,425,586,535,956,428,194,892
99,721,757,167,424,850,378,980
521,724,374,931,304,589,613,401
638,244,931,122,901,549,680,783
245,285,898,510,672,834,217,284
285,679,590,332,350,601,273,738
627,462,905,287,628,797,16,953
839,470,684,221,934,83,332,798
385,791,654,714,633,983,117,495
382,169,337,260,634,705,635,784
621,935,170,962,860,247,290,606
207,430,967,813,697,150,866,726
991,520,5,612,916,212,898,777
187,375,676,248,934,720,320,486
655,455,590,945,773,511,129,838
559,300,689,773,854,803,559,187
759,63,143,389,960,627,72,420
26,596,244,547,12,821,389,935
695,737,153,226,288,313,196,182
185,60,545,600,671,595,472,685
864,974,975,528,219,329,734,825
143,192,835,313,767,993,312,217
300,240,882,356,432,147,787,399
164,25,100,133,69,556,645,111
667,970,834,432,882,144,649,464
600,630,943,190,976,136,601,218
822,612,654,917,600,545,875,928
625,434,455,998,923,693,359,839
394,980,559,777,763,656,280,119
905,921,694,465,845,474,735,986
856,34,219,961,783,625,709,993
976,473,427,419,715,98,892,340
668,779,847,893,255,390,10,567
698,395,362,210,907,241,285,573
124,559,368,490,236,401,530,835
373,171,749,680,305,846,371,841
120,409,342,263,485,4,418,574
242,770,162,763,558,742,272,825
506,886,545,813,864,801,438,60
772,886,472,642,208,108,989,600
216,962,812,218,887,276,808,523
629,822,173,622,766,228,679,55
920,920,414,217,342,920,776,545
637,882,476,983,300,972,5,188
223,75,490,666,607,159,188,681
130,802,665,225,227,952,489,670
777,760,786,46,265,975,445,76
169,629,679,781,174,739,94,635
615,692,961,377,364,714,132,56
206,769,378,887,648,509,420,637
358,431,375,891,916,47,845,244
634,334,70,552,478,87,303,780
194,389,604,652,160,728,895,289
442,551,880,921,872,825,529,785
423,68,635,819,804,716,758,701
128,834,214,695,505,642,721,217
436,18,540,62,576,974,136,649
512,513,80,208,925,241,351,26
461,885,289,845,274,227,455,929
780,717,43,800,347,617,784,1
501,910,636,489,867,290,50,367
959,80,580,454,423,530,204,772
682,228,577,0,37,549,853,458
721,635,166,958,195,225,942,757
421,992,295,824,314,607,310,790
691,530,46,934,567,415,769,634
73,289,72,634,826,884,868,296
731,398,311,13,280,28,963,981
751,790,346,203,56,214,507,435
583,457,354,829,208,679,465,218
466,919,578,847,380,513,953,195
621,223,244,326,195,231,959,189
803,26,360,718,215,430,602,358
