5950,6468,5247,3452,3997,14535,7406,11248,11190,4943,8542,7120,6662,18604,10762,16584,10420,14193,11492,14584,10703,19842,13517,18020,8914,11825,9642,12112,7053,16564,9525,11828
30924,19932,16848,29496,12583,9017,6331,12825,40992,17912,35670,35134,24201,10185,24228,25626,22827,15680,7251,24967,19152,13727,6406,22087,26518,13451,19520,19356,25686,10243,20043,20684
24425,27170,26788,38589,32606,35603,31414,41586,22617,26740,23256,35503,16966,13446,12346,28416,20871,28384,23544,28273,11220,13063,7658,14000,27522,32119,34364,41462,18927,21730,17666,20999
13917,15215,4640,11781,28686,26604,21320,16656,30904,22992,17264,17278,13655,8849,7156,7049,23174,21837,13446,15101,19546,25802,19078,13426,38628,32642,27632,20984,30347,22534,17020,15748
27446,26198,23000,29723,24864,23310,22533,30585,19982,21356,14989,20676,8942,17554,2099,14419,29287,30244,25845,40889,30839,24552,29464,31657,24289,18914,24097,27704,27748,29586,22723,36741
24661,5532,31532,26326,23306,8592,31354,26930,23512,3060,24178,18680,19458,4896,21803,18943,19364,8892,29067,25647,23266,6100,26871,21811,16107,7636,23988,22414,24758,7500,32647,27653
29946,29845,29543,40923,22128,22870,15932,23907,18978,16671,14095,21758,20509,18938,16748,24975,17549,16048,19232,26324,24730,23506,23632,32801,25429,24838,26140,35855,8956,9663,7569,10945
39995,19171,24213,34332,35389,24844,21979,33033,28306,8342,15958,22621,41173,30562,28037,39670,33579,13040,18853,27408,39786,22660,25376,35424,20955,3470,11633,15979,42313,31277,27567,40230
29513,22064,21635,25004,37195,32500,22981,31408,24484,16024,20989,24670,46490,37110,31028,39741,28958,16086,24560,27477,43935,39870,25881,36063,30133,26112,19714,25698,25196,17184,17195,23586
10561,7659,15383,20499,22224,18320,12616,18768,20748,17248,17509,25045,21671,15457,17381,21940,16095,16809,17564,30163,25839,16981,24338,29640,12326,12770,20268,33524,21899,16721,16610,21891
18612,13060,11028,11605,16843,15420,14330,19383,31217,20493,25836,29970,18813,16052,17826,23045,24329,21869,20456,21932,28068,16573,19126,18586,33845,21434,22822,24359,22470,22422,22156,19836
