36137,26745,31677,34090,60826,43020,63075,43146,45627,33065,37388,40025,56364,53803,57194,40725
13267,22188,30578,31119,31260,37016,37649,43161,37129,59853,54727,74790,12340,27069,25948,38826
45950,34198,29582,41714,62323,42950,39567,53104,54148,22979,21491,36645,70099,45490,53503,57447
55880,51320,49196,56392,47643,38482,41023,36234,55639,42097,52499,42111,54051,41086,50757,41214
33606,64868,64750,30607,31020,53850,49823,29917,23845,45167,46513,27836,28531,45907,35025,8157
35841,37762,41844,49475,40037,37255,42811,61937,25106,30283,27622,44583,34178,35421,42931,42516
51461,33856,35556,32687,52840,40407,38249,35325,46463,43842,33482,39180,37271,31727,27334,36707
33886,39455,42031,32594,39676,33593,40470,45125,51697,50530,55733,49874,28008,27887,29381,32158
44005,39432,29396,39571,47783,49270,33705,58997,33506,51462,20923,36635,27593,43496,25479,28685
25592,47154,37150,45767,51394,81977,64605,57727,45736,49830,46884,35476,32200,36822,42780,38433
43152,47951,27659,36540,58590,59793,42402,52576,34990,33677,26500,30586,47690,44439,37342,42104
51260,60053,60256,41880,43133,46899,56304,33768,38652,54446,60786,43534,40395,37688,47616,29241
54913,63656,67704,60677,30136,41020,44158,45925,34005,46716,47110,45722,38663,39270,55314,39863
33022,58164,59768,39275,30810,40244,49258,40738,24415,44777,46287,31470,39288,58357,59302,33567
45140,31319,35143,37474,49239,37579,39167,47214,53659,38452,49340,56676,33000,13440,18677,40345
37232,33444,27226,30122,67163,49240,51509,49146,43524,33833,32990,33141,34980,31318,22524,17026
31068,21239,28668,43753,56649,45983,49394,62819,59507,44669,53990,72852,41379,40195,49599,60422
35191,30110,22817,44498,33054,30909,17981,29096,45217,41962,27366,46996,44357,41112,24736,56312
61404,55692,52196,44238,44551,46008,44521,38275,40032,34037,46261,30529,47422,53725,50720,43442
28271,39987,34666,49630,37976,52207,27570,48865,34660,55660,27680,48156,43217,52947,38058,60718
54560,59382,41520,44345,33281,48869,39218,41843,25152,39478,30611,32907,39263,40649,34401,34811
41580,22024,53974,41433,52248,36794,72275,43360,43604,42212,60850,32052,33596,20752,39749,27503
22624,20104,20393,22289,48833,48581,63551,54284,19924,14232,35727,23495,43500,43938,55612,46831
36698,51714,48656,27508,43939,46446,46047,32612,31974,40926,34208,18999,21218,42764,37559,17146
19988,27549,40020,23328,25678,18974,40675,19989,44932,39991,42498,44549,20433,29401,34844,25448
30612,23028,32115,49863,35945,22602,42144,70213,21292,15370,27443,47144,15496,11993,23614,47141
61909,63813,51923,69411,43509,59453,50827,49312,53317,66790,63153,66548,58715,60811,51967,68728
51116,32150,49569,56216,40283,32526,47160,47293,48110,33872,48212,63250,42235,38699,48983,51902
37286,27042,37627,23761,46283,30753,39245,30738,35981,32644,53451,36658,28345,19763,23058,21564
38897,33745,29682,38860,39351,36300,28812,43347,35034,35864,33669,44077,66579,44116,38029,62716
39545,49754,29995,36925,29645,46627,27331,43919,32350,32762,21959,39523,41233,56599,32858,48498
30318,35460,28216,28645,29491,34609,41503,42367,23060,27550,19898,22718,20179,33042,29839,29849
32261,38234,27202,24879,30765,39193,34862,37704,45635,55060,47016,44515,38762,38686,39214,28746
18805,50117,36356,29871,34592,46863,36673,48854,19257,37127,32089,29770,30315,49975,36260,49945
39208,44573,49293,36955,38480,48794,50912,35231,29541,41336,35579,27618,33756,32708,29248,23842
27077,29629,52088,41730,36309,35611,67653,51622,51488,37560,62856,66955,38618,41500,58879,54413
61941,37209,41874,36660,40313,30834,23251,41839,72857,42973,52123,40731,35051,34133,21292,36787
50069,58145,83464,52343,34023,45775,52036,33604,32490,49370,53874,35543,34947,50334,54287,33691
29355,24994,31124,17653,44410,34898,40176,41453,53871,44881,47988,42932,49110,38649,40850,35267
43524,85235,48423,59837,19507,44456,38646,42762,48286,91937,63656,80242,18687,43619,28957,36700
48483,47803,32889,60780,37938,46708,29714,37724,25257,41815,29811,27425,57271,49241,27587,63790
33608,43951,28979,58045,27911,44988,38858,47417,42432,50633,48993,62395,19815,29752,42663,43425
41209,46855,39052,41138,20314,36414,51672,39300,41375,53489,41773,46711,47861,51198,54096,48761
41237,31960,49719,36298,53406,44437,64675,45805,45414,33379,52673,34091,53663,42474,60527,43837
33898,36943,49872,45114,48977,34839,50020,38281,40062,23371,39996,31639,23389,28384,38488,34121
43483,35863,44153,37688,34894,46954,39096,40616,45891,34474,42990,31777,34604,36380,24457,31041
49304,40067,23536,54873,50949,52455,49380,47966,33870,41660,34610,47399,35400,41810,31883,45203
49492,39417,33529,48650,60999,58852,48470,67919,58690,59472,47582,80671,49638,44536,42408,62833
19717,17830,44324,39562,38371,34546,56604,52533,31019,33524,62526,68112,22388,23364,51610,49109
36780,58061,36992,28509,34998,48490,28440,29311,35267,55209,40203,21303,27355,60464,26655,33217
38138,40620,58169,55879,28623,30410,45402,34364,19672,21721,29013,29837,33935,32631,43331,39020
36215,54630,53686,43467,31641,50482,34249,40614,19394,33624,25236,40539,26046,42862,37376,39689
42813,33996,39698,52485,48229,39940,51667,51209,46992,40122,46182,54857,41196,37427,45980,48383
69724,56538,42279,44346,50523,45965,46809,49189,60466,54660,44491,42678,30546,32711,38192,39769
23077,24874,27147,30484,30093,37203,49012,49324,19867,34037,37212,31384,25399,38370,43154,47977
24731,12588,38705,40868,48217,42643,71259,71839,21705,16839,27910,28376,45930,39190,61349,64345
58224,46663,38166,42941,45019,34386,22773,37175,52292,39648,26020,31044,70939,50531,43445,48046
39156,28709,45864,21028,36753,20946,43092,18750,40619,27253,54396,17141,48253,44796,70737,31135
35633,45467,34227,29392,50498,37708,38641,37534,51005,60662,52610,39421,57079,65172,69890,48868
24633,49882,80822,58710,15225,36067,60623,28249,23141,46935,79591,44074,15588,59663,89214,51137
63345,35825,32397,41548,60482,60006,40395,59435,52635,45364,36590,55300,41244,51227,34649,59587
60557,45435,72059,58815,37807,22942,46693,33275,34739,26896,43693,31086,53680,39353,54051,49593
